date,NoDur,Durbl,Manuf,Enrgy,Chems,BusEq,Telcm,Utils,Shops,Hlth,Money,Other
192607,0.0144,0.139,0.0367,-0.011399999999999999,0.0802,0.0315,0.0083,0.0704,0.0012,0.018500000000000003,-0.0002,0.0223
192608,0.039900000000000005,0.037000000000000005,0.024100000000000003,0.034300000000000004,0.051,0.0198,0.0217,-0.017,-0.0072,0.0417,0.0426,0.0435
192609,0.0115,0.049800000000000004,-0.0007000000000000001,-0.033,0.0538,-0.0034999999999999996,0.0242,0.020499999999999997,0.0021,0.0069,-0.0163,0.0039000000000000003
192610,-0.0124,-0.0839,-0.0318,-0.0078000000000000005,-0.0455,-0.0538,-0.0011,-0.0327,-0.0229,-0.005699999999999999,-0.0552,-0.0275
192611,0.0521,-0.0017000000000000001,0.0403,0.0001,0.0509,0.0479,0.0163,0.044000000000000004,0.0645,0.0543,0.025400000000000002,0.0211
192612,0.008,0.099,0.0353,0.0282,0.05280000000000001,-0.018000000000000002,0.0199,-0.0018,0.0062,0.0009,0.0216,0.0351
192701,-0.006500000000000001,-0.0092,-0.0036,0.0128,0.003,-0.0077,0.0188,-0.0179,-0.025400000000000002,0.0507,-0.020499999999999997,0.0163
192702,0.0336,0.08960000000000001,0.0461,0.0147,0.0956,0.046,0.039700000000000006,0.0454,0.0362,0.0171,0.0271,0.051500000000000004
192703,0.027700000000000002,0.016200000000000003,0.0034999999999999996,-0.0604,0.060300000000000006,0.005699999999999999,0.0562,0.0037,-0.0046,0.0101,0.009000000000000001,0.0118
192704,0.0351,0.031400000000000004,0.0017000000000000001,-0.0517,0.0278,0.062000000000000006,-0.0206,0.0171,0.044800000000000006,0.027400000000000004,0.0246,0.008
192705,0.083,0.059500000000000004,0.0541,0.0478,0.0415,0.0771,0.0335,0.09230000000000001,0.0234,0.041299999999999996,0.1003,0.0643
192706,-0.0197,-0.0302,-0.0263,-0.0315,-0.0175,0.028999999999999998,-0.0216,-0.0358,-0.0061,0.0054,-0.0007000000000000001,-0.022400000000000003
192707,0.0484,0.131,0.1011,0.0286,0.17120000000000002,0.13570000000000002,0.0373,0.055,0.0986,0.0984,0.0649,0.060700000000000004
192708,0.0273,0.0702,0.032100000000000004,-0.0004,0.0211,0.065,0.0043,0.0326,0.0735,0.0027,0.0183,-0.0116
192709,0.0527,0.056600000000000004,0.038900000000000004,0.033100000000000004,0.057800000000000004,0.0086,0.0655,0.08289999999999999,0.075,0.056600000000000004,0.05940000000000001,0.0451
192710,-0.0064,-0.0441,-0.0668,-0.0207,-0.0693,-0.0716,-0.0209,-0.0435,-0.049400000000000006,0.0514,0.0401,-0.042699999999999995
192711,0.0632,0.0641,0.11380000000000001,0.042,0.0895,0.11140000000000001,0.028300000000000002,0.0633,0.1169,0.0368,0.07940000000000001,0.0429
192712,0.025,0.07780000000000001,0.0373,-0.0024,-0.0004,0.021400000000000002,0.013300000000000001,0.022400000000000003,-0.0068000000000000005,-0.0047,0.11170000000000001,0.013700000000000002
192801,0.0047,-0.0334,-0.0059,-0.0188,-0.0044,-0.0044,0.0029,0.0588,-0.0088,0.027000000000000003,0.0149,-0.011200000000000002
192802,-0.039700000000000006,0.0128,-0.0262,-0.0018,0.0099,-0.0084,-0.003,-0.0077,-0.011200000000000002,-0.0344,-0.028900000000000002,-0.0195
192803,0.044000000000000004,0.275,0.0645,0.0562,0.12689999999999999,0.22469999999999998,0.0197,0.0665,0.08470000000000001,0.0994,0.09570000000000001,0.05740000000000001
192804,-0.0048,0.0146,0.0203,0.1525,0.0006,0.023100000000000002,0.0313,0.10960000000000002,0.0002,0.0235,0.0935,0.0396
192805,0.009000000000000001,0.0565,0.039700000000000006,-0.0535,0.0269,0.0169,0.06570000000000001,0.015,0.0381,0.09300000000000001,0.0169,-0.0014000000000000002
192806,-0.044000000000000004,-0.041299999999999996,-0.0559,-0.0408,-0.0276,-0.053200000000000004,-0.0521,-0.0344,-0.034,-0.031200000000000002,-0.10740000000000001,-0.0394
192807,0.0168,0.0098,0.0215,0.0105,0.0202,-0.0003,-0.0128,-0.0123,0.0545,0.024,0.0033000000000000004,-0.0042
192808,0.0611,0.091,0.0818,0.024100000000000003,0.0892,0.1118,0.0455,0.06480000000000001,0.1356,0.1472,0.0516,0.0471
192809,0.0117,0.0789,0.0363,0.0534,0.0463,0.013000000000000001,0.0014000000000000002,0.0379,0.0016,-0.011399999999999999,0.0263,0.009300000000000001
192810,0.009000000000000001,0.0007000000000000001,0.0392,0.0204,0.051100000000000007,0.0198,0.029700000000000004,-0.0191,0.0589,0.0005,0.015,-0.0072
192811,0.0659,0.0453,0.1275,0.1728,0.12890000000000001,0.2169,0.0668,0.22010000000000002,0.1531,0.050499999999999996,0.1018,0.0998
192812,-0.0031,-0.0122,0.0332,-0.04360000000000001,0.0194,0.0828,-0.0036,0.0154,-0.013200000000000002,-0.0046,0.006500000000000001,0.0037
192901,0.0322,0.0131,0.0708,-0.0759,0.21789999999999998,0.11539999999999999,0.1338,0.133,-0.0388,0.034100000000000005,0.0852,0.0529
192902,-0.025400000000000002,0.0,0.0483,-0.0017000000000000001,-0.0058,-0.0139,-0.0115,-0.0199,-0.024100000000000003,0.0004,0.0092,-0.0005
192903,-0.0466,-0.0188,-0.0129,0.11140000000000001,-0.0357,0.0564,0.0432,-0.0318,-0.0513,-0.015,-0.0115,-0.023100000000000002
192904,0.0178,-0.0098,0.0178,0.0074,0.0362,0.0191,0.0339,0.050199999999999995,0.0376,0.0148,0.0326,0.0047
192905,-0.0394,-0.1516,-0.10460000000000001,-0.0559,-0.0721,0.0069,-0.0877,0.0468,-0.0867,-0.0789,-0.0588,0.0029
192906,0.0533,0.0701,0.107,0.011399999999999999,0.1959,0.1822,0.138,0.2348,0.0951,0.0453,0.0633,0.0575
192907,0.0322,-0.029700000000000004,0.0412,0.0017000000000000001,0.04820000000000001,0.0942,0.1368,0.0917,0.010400000000000001,0.026000000000000002,0.0839,0.06269999999999999
192908,0.047599999999999996,0.030299999999999997,0.0902,0.1137,0.1092,0.1236,0.10980000000000001,0.0901,0.0782,0.0313,0.0542,0.08070000000000001
192909,-0.0356,-0.0837,-0.0717,-0.0304,-0.06269999999999999,-0.0834,-0.0138,0.0092,-0.05480000000000001,-0.0704,-0.052000000000000005,-0.065
192910,-0.1075,-0.2899,-0.1729,-0.1017,-0.24980000000000002,-0.2961,-0.1539,-0.2972,-0.24,-0.1804,-0.2933,-0.0935
192911,-0.08449999999999999,-0.17350000000000002,-0.1343,-0.0639,-0.1595,-0.197,-0.0947,-0.1537,-0.1233,-0.0785,-0.1417,-0.0885
192912,0.006600000000000001,0.0492,0.0009,-0.0117,0.0581,0.11900000000000001,0.0106,0.0816,-0.0605,0.010900000000000002,0.0005,-0.0083
193001,0.057699999999999994,0.0596,0.0644,-0.0075,0.0855,0.1077,0.012,0.0851,0.047400000000000005,0.0255,0.0974,0.045899999999999996
193002,0.0219,0.0244,0.0262,-0.0451,0.0211,0.0724,0.0706,0.08650000000000001,-0.0514,0.0229,0.0617,0.0292
193003,0.0213,0.1137,0.0592,0.1807,0.09970000000000001,0.0803,0.0888,0.0985,-0.0245,0.0637,0.0883,0.0422
193004,0.0054,-0.07830000000000001,-0.0764,0.0646,-0.0495,0.0159,-0.0452,0.033100000000000004,0.0263,-0.012700000000000001,-0.0392,-0.0672
193005,0.0134,0.042,-0.016,-0.0373,-0.024300000000000002,-0.0458,0.004,-0.0128,-0.0017000000000000001,-0.0152,-0.0562,-0.0036
193006,-0.1106,-0.22350000000000003,-0.15460000000000002,-0.1551,-0.17870000000000003,-0.20190000000000002,-0.08320000000000001,-0.193,-0.1629,-0.1193,-0.21710000000000002,-0.1059
193007,0.0313,0.1211,0.043,0.0519,0.0571,0.0414,0.012700000000000001,0.0408,0.0269,0.0652,0.04360000000000001,0.032799999999999996
193008,0.0201,-0.0189,-0.0134,-0.0315,0.038700000000000005,0.0174,0.0174,0.011899999999999999,0.0499,0.07769999999999999,0.0128,-0.0064
193009,-0.0891,-0.1681,-0.14800000000000002,-0.1552,-0.1319,-0.1918,-0.053,-0.11939999999999999,-0.1094,-0.08750000000000001,-0.1833,-0.09390000000000001
193010,-0.049800000000000004,-0.1164,-0.0926,-0.0843,-0.1072,-0.1807,-0.0412,-0.08289999999999999,-0.08630000000000002,-0.0437,-0.1549,-0.0745
