date,NoDur,Durbl,Manuf,Enrgy,Chems,BusEq,Telcm,Utils,Shops,Hlth,Money,Other
192901,0.0174,0.0334,0.0545,-0.0633,0.0925,0.07740000000000001,0.0785,0.1595,-0.0226,0.0433,0.1139,0.0499
192902,-0.0149,-0.012,0.0367,0.0061,-0.0169,0.0464,-0.0151,-0.0152,-0.006,-0.0007000000000000001,0.0536,0.0085
192903,-0.056900000000000006,-0.0678,-0.027200000000000002,0.0556,-0.047,0.0668,0.1014,-0.0213,-0.060599999999999994,-0.0051,-0.0037,-0.049100000000000005
192904,0.025099999999999997,-0.0193,0.008199999999999999,0.0154,0.0379,0.0495,-0.026000000000000002,0.0376,0.008199999999999999,0.024300000000000002,0.0268,0.0108
192905,-0.07690000000000001,-0.139,-0.1384,-0.0828,-0.0862,-0.04360000000000001,-0.0724,0.0257,-0.0883,-0.0696,-0.0762,-0.0643
192906,0.0429,0.0705,0.10560000000000001,0.0288,0.1778,0.1381,0.064,0.2278,0.0765,0.0475,0.09,0.0496
192907,0.010400000000000001,-0.0177,0.0262,0.0181,0.0002,0.0649,0.1045,0.0799,0.0099,0.031200000000000002,0.05940000000000001,0.0217
192908,0.0004,-0.020499999999999997,0.0318,0.0335,0.050800000000000005,0.06480000000000001,0.0506,0.0983,0.0409,-0.005200000000000001,0.0329,0.0311
192909,-0.0364,-0.095,-0.0602,-0.0388,0.0040999999999999995,-0.0267,-0.028900000000000002,0.0209,-0.0344,-0.057999999999999996,-0.0418,-0.040999999999999995
192910,-0.16949999999999998,-0.2952,-0.22219999999999998,-0.1637,-0.26670000000000005,-0.2775,-0.1198,-0.3024,-0.22870000000000001,-0.1714,-0.2071,-0.1525
192911,-0.1199,-0.1482,-0.1222,-0.0853,-0.10289999999999999,-0.20800000000000002,-0.0886,-0.12560000000000002,-0.13269999999999998,-0.046,-0.1416,-0.0977
192912,-0.0394,-0.0111,-0.0404,-0.0546,0.008199999999999999,0.042800000000000005,0.025400000000000002,0.0901,-0.0719,0.0396,-0.0248,-0.003
193001,0.091,0.16899999999999998,0.15050000000000002,0.042699999999999995,0.0956,0.09730000000000001,0.0365,0.056600000000000004,0.09380000000000001,0.0239,0.09150000000000001,0.09949999999999999
193002,0.039700000000000006,0.0513,0.0417,-0.0313,0.0719,0.07,0.05480000000000001,0.09119999999999999,-0.0148,0.0378,0.0608,0.0366
193003,0.07540000000000001,0.1678,0.1118,0.24600000000000002,0.0882,0.1153,0.0386,0.106,0.0232,0.08130000000000001,0.0848,0.076
193004,-0.0504,-0.1124,-0.0824,0.018000000000000002,-0.0894,-0.0131,0.0055000000000000005,0.013300000000000001,0.0233,-0.0332,-0.060700000000000004,-0.0512
193005,-0.0256,-0.0492,-0.041299999999999996,-0.0581,-0.011899999999999999,-0.0721,-0.0233,-0.0191,-0.0294,-0.0188,-0.0418,-0.032100000000000004
193006,-0.1484,-0.2773,-0.19820000000000002,-0.1748,-0.18510000000000001,-0.2532,-0.1032,-0.1776,-0.182,-0.1115,-0.1801,-0.1666
193007,0.0209,0.0945,0.0447,0.0248,0.0559,0.0667,0.0489,0.0396,0.0091,0.0897,0.043,0.0248
193008,-0.0061,-0.057800000000000004,-0.0292,-0.0386,-0.0062,0.0012,0.0151,0.0117,0.0070999999999999995,0.0116,-0.0084,0.0194
193009,-0.1288,-0.2009,-0.1595,-0.17809999999999998,-0.18539999999999998,-0.2205,-0.0567,-0.1191,-0.1052,-0.058300000000000005,-0.15880000000000002,-0.1529
193010,-0.027000000000000003,-0.1519,-0.1073,-0.1274,-0.0949,-0.15560000000000002,-0.03,-0.09699999999999999,-0.1183,-0.0524,-0.141,-0.0819
193011,-0.0163,0.053200000000000004,-0.0178,-0.06570000000000001,-0.057999999999999996,-0.0061,-0.0239,-0.063,-0.016,-0.0105,-0.065,-0.0394
